Designator,Mid X,Mid Y,Rotation,Layer
_6,190.0,-29.5,90.0,top
_5,198.7,-23.1,0.0,top
_4,178.7,-29.4,270.0,top
_3,198.7,-66.2,0.0,top
_2,198.8,-52.7,0.0,top
,198.8,-39.1,0.0,top
C1,242.35,-48.5,0.0,top
C2,185.4,-50.1,180.0,top
C4,191.2,-50.2,90.0,top
D1,207.95,-43.5,90.0,top
D10,220.5,-55.0,0.0,top
D2,221.64,-33.0,180.0,top
D3,214.95,-43.5,90.0,top
D4,221.95,-43.5,90.0,top
D5,228.95,-43.5,90.0,top
D6,235.95,-43.5,90.0,top
D7,242.95,-43.5,90.0,top
D8,249.95,-43.5,90.0,top
D9,256.95,-43.5,90.0,top
J1,181.516,-66.866,0.0,top
J10,193.0,-33.0,90.0,top
J11,212.9,-68.1,90.0,top
J12,230.6,-60.63,0.0,top
J13,186.2,-33.0,270.0,top
J14,226.59,-35.0,0.0,top
J15,258.0875,-35.3,0.0,top
J16,258.1,-27.67,0.0,top
J17,207.585,-26.23,0.0,top
J18,212.25,-26.23,0.0,top
J19,207.585,-35.07,0.0,top
J2,230.37,-20.9,0.0,top
J20,212.25,-35.07,0.0,top
J21,194.3,-66.4,0.0,top
J22,206.3,-63.6,90.0,top
J23,178.9,-37.2,90.0,top
J24,224.5,-57.0,0.0,top
J3,235.035,-20.9,0.0,top
J4,239.7,-20.9,0.0,top
J5,244.365,-20.9,0.0,top
J6,249.03,-20.9,0.0,top
J7,253.4875,-20.87,0.0,top
J8,178.93,-33.0,270.0,top
J9,206.4,-68.1,90.0,top
Q1,222.04,-36.1,0.0,top
Q2,179.5,-41.9,90.0,top
Q3,184.7,-41.94,90.0,top
Q4,220.44,-58.0,0.0,top
R1,224.45,-63.5,0.0,top
R12,178.6,-45.4,90.0,top
R13,184.7,-51.2,0.0,top
R2,250.85,-48.5,180.0,top
R3,244.55,-48.5,0.0,top
R4,179.61,-60.56,180.0,top
R5,187.4,-66.2,270.0,top
R6,181.81,-60.56,0.0,top
R7,218.48,-35.1,0.0,top
R8,217.5,-57.5,90.0,top
S1,227.0,-67.0,0.0,top
U1,247.475,-59.0175,270.0,top
U2,191.2,-57.4,270.0,top
U3,181.9,-56.35,0.0,top
U8,179.8375,-49.1,270.0,top
